variant	LocationID	LocationName	sample_id	sample_date	value
BA.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2022-01-16	0.0
B.1.617.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2022-01-23	0.0
BA.1	ATTP_1-00000044	Kläranlage Oberpullendorf	CoV_23178_S108017	2022-01-23	0.91516
BA.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2022-01-23	0.0
B.1.617.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2022-01-30	0.0
BA.1	ATTP_1-00000044	Kläranlage Oberpullendorf	CoV_23734_S108213	2022-01-30	0.95879
BA.2	ATTP_1-00000044	Kläranlage Oberpullendorf		2022-01-30	0.0
B.1.617.2	ATTP_3-430	ARA Tulln	CoV_21242_S105027	2021-12-02	0.9748
BA.1	ATTP_3-430	ARA Tulln		2021-12-02	0.0
BA.2	ATTP_3-430	ARA Tulln		2021-12-02	0.0
B.1.617.2	ATTP_3-430	ARA Tulln	CoV_21382_S105553	2021-12-09	0.99192
BA.1	ATTP_3-430	ARA Tulln		2021-12-09	0.0
BA.2	ATTP_3-430	ARA Tulln		2021-12-09	0.0
B.1.617.2	ATTP_3-430	ARA Tulln	CoV_21552_S105705	2021-12-21	0.99522
BA.1	ATTP_3-430	ARA Tulln		2021-12-21	0.0
BA.2	ATTP_3-430	ARA Tulln		2021-12-21	0.0
B.1.617.2	ATTP_3-430	ARA Tulln	CoV_21856_S105967	2021-12-30	0.247243823210946
BA.1	ATTP_3-430	ARA Tulln	CoV_21856_S105967	2021-12-30	0.752747973881944
BA.2	ATTP_3-430	ARA Tulln		2021-12-30	0.0
B.1.617.2	ATTP_3-430	ARA Tulln		2022-01-04	0.0
BA.1	ATTP_3-430	ARA Tulln	CoV_22315_S106709	2022-01-04	0.96435
BA.2	ATTP_3-430	ARA Tulln		2022-01-04	0.0
B.1.617.2	ATTP_3-430	ARA Tulln		2022-01-14	0.0
BA.1	ATTP_3-430	ARA Tulln	CoV_22703_S107095	2022-01-14	0.96502
BA.2	ATTP_3-430	ARA Tulln		2022-01-14	0.0
B.1.617.2	ATTP_3-430	ARA Tulln	CoV_23200_S107998	2022-01-20	0.149674939449505
BA.1	ATTP_3-430	ARA Tulln	CoV_23200_S107998	2022-01-20	0.850315254802365
BA.2	ATTP_3-430	ARA Tulln		2022-01-20	0.0
B.1.617.2	ATTP_3-430	ARA Tulln		2022-01-28	0.0
BA.1	ATTP_3-430	ARA Tulln	CoV_23756_S108194	2022-01-28	0.92369
BA.2	ATTP_3-430	ARA Tulln	CoV_23756_S108194	2022-01-28	0.073325
B.1.617.2	ATTP_3-150	ARA Stockerau	CoV_21280_S104832	2021-12-02	0.99469
BA.1	ATTP_3-150	ARA Stockerau		2021-12-02	0.0
BA.2	ATTP_3-150	ARA Stockerau		2021-12-02	0.0
B.1.617.2	ATTP_3-150	ARA Stockerau	CoV_21423_S105449	2021-12-09	0.99008
BA.1	ATTP_3-150	ARA Stockerau		2021-12-09	0.0
BA.2	ATTP_3-150	ARA Stockerau		2021-12-09	0.0
B.1.617.2	ATTP_3-150	ARA Stockerau	CoV_21595_S105791	2021-12-21	0.99624
BA.1	ATTP_3-150	ARA Stockerau		2021-12-21	0.0
BA.2	ATTP_3-150	ARA Stockerau		2021-12-21	0.0
B.1.617.2	ATTP_3-150	ARA Stockerau	CoV_22357_S106740	2022-01-04	0.425720821725442
BA.1	ATTP_3-150	ARA Stockerau	CoV_22357_S106740	2022-01-04	0.574271628426687
BA.2	ATTP_3-150	ARA Stockerau		2022-01-04	0.0
B.1.617.2	ATTP_3-150	ARA Stockerau		2022-01-14	0.0
BA.1	ATTP_3-150	ARA Stockerau	CoV_22741_S107078	2022-01-14	0.96304
BA.2	ATTP_3-150	ARA Stockerau		2022-01-14	0.0
B.1.617.2	ATTP_3-150	ARA Stockerau		2022-01-20	0.0
BA.1	ATTP_3-150	ARA Stockerau	CoV_23242_S108025	2022-01-20	0.833044899106586
BA.2	ATTP_3-150	ARA Stockerau	CoV_23242_S108025	2022-01-20	0.16694631609463
