sampleDate	variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value	week	year	kw
2021-01-12	B.1.160	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_3156_S75979	2021-01-12	0.243925258391661	2	2021	2/2021
2021-01-12	B.1.177	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_3156_S75979	2021-01-12	0.574966680494629	2	2021	2/2021
2021-01-12	B.1.177	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_3171_S75910	2021-01-12	0.23106	2	2021	2/2021
2021-01-12	B.1.160	ATTP_3-29	ARA Baden	CoV_14761_S95641	2021-01-12	0.0828646603897615	2	2021	2/2021
2021-01-12	B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3073_S75334	2021-01-12	0.325127801808887	2	2021	2/2021
2021-01-12	B.1.258	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_3164_S75976	2021-01-12	0.036466	2	2021	2/2021_1
2021-01-12	B.1.160	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_3164_S75976	2021-01-12	0.66963	2	2021	2/2021_1
2021-01-12	B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3073_S75334	2021-01-12	0.466807278447074	2	2021	2/2021
2021-01-12	B.1.177	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_3164_S75976	2021-01-12	0.17013	2	2021	2/2021_1
2021-01-12	B.1.1.153	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_3164_S75976	2021-01-12	0.043394	2	2021	2/2021_1
2021-01-12	B.1.1.7	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_3164_S75976	2021-01-12	0.04732	2	2021	2/2021_1
2021-01-12	B.1.1.7	ATTP_3-29	ARA Baden	CoV_14761_S95641	2021-01-12	0.12141615949205	2	2021	2/2021
2021-01-12	B.1.258	ATTP_3-29	ARA Baden	CoV_14761_S95641	2021-01-12	0.795710687101996	2	2021	2/2021
2021-01-12	B.1.258	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_3156_S75979	2021-01-12	0.181099234754671	2	2021	2/2021
2021-01-12	B.1.177	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3073_S75334	2021-01-12	0.208057769992493	2	2021	2/2021
2021-01-12	B.1.258	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_3171_S75910	2021-01-12	0.10585	2	2021	2/2021
2021-01-13	B.1.177	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_3159_S75912	2021-01-13	0.12905	2	2021	2/2021_1
